period,staff_id,role,class_id,monthly_fully_loaded_cost
2025-06,P004,TEACHER,T04,12000
2025-06,P005,ASSISTANT,T01,7000
2025-06,P006,ASSISTANT,T03,7000
2025-06,P007,ASSISTANT,T05,7000
2025-06,P008,COORDINATOR,SHARED,14000
2025-06,P009,ADMIN,SHARED,10000
2025-07,P001,TEACHER,T01,12000
2025-07,P002,TEACHER,T02,12000
2025-07,P003,TEACHER,T03,12000
2025-07,P004,TEACHER,T04,12000
2025-07,P005,ASSISTANT,T01,7000
2025-07,P006,ASSISTANT,T03,7000
2025-07,P007,ASSISTANT,T05,7000
2025-07,P008,COORDINATOR,SHARED,14000
2025-07,P009,ADMIN,SHARED,10000
2026-01,P001,TEACHER,T01,12600
2026-01,P002,TEACHER,T02,12600
2026-01,P003,TEACHER,T03,12600
2026-01,P004,TEACHER,T04,12600
2026-01,P005,ASSISTANT,T01,7350
2026-01,P006,ASSISTANT,T03,7350
2026-01,P007,ASSISTANT,T05,7350
2026-01,P008,COORDINATOR,SHARED,14700
2026-01,P009,ADMIN,SHARED,10500
2026-02,P001,TEACHER,T01,12600
2026-02,P002,TEACHER,T02,12600
2026-02,P003,TEACHER,T03,12600
2026-02,P004,TEACHER,T04,12600
2026-02,P005,ASSISTANT,T01,7350
2026-02,P006,ASSISTANT,T03,7350
2026-02,P007,ASSISTANT,T05,7350
2026-02,P008,COORDINATOR,SHARED,14700
2026-02,P009,ADMIN,SHARED,10500
2026-03,P001,TEACHER,T01,12600
2026-03,P002,TEACHER,T02,12600
2026-03,P003,TEACHER,T03,12600
2026-03,P004,TEACHER,T04,12600
2026-03,P005,ASSISTANT,T01,7350
2026-03,P006,ASSISTANT,T03,7350
2026-03,P007,ASSISTANT,T05,7350
2026-03,P008,COORDINATOR,SHARED,14700
2026-03,P009,ADMIN,SHARED,10500
2026-03,P010,TEACHER,T06,12600
2026-03,P011,ASSISTANT,T06,7350
2026-04,P001,TEACHER,T01,12600
2026-04,P002,TEACHER,T02,12600
2026-04,P003,TEACHER,T03,12600
2026-04,P004,TEACHER,T04,12600
2026-04,P005,ASSISTANT,T01,7350
2026-04,P006,ASSISTANT,T03,7350
2026-04,P007,ASSISTANT,T05,7350
2026-04,P008,COORDINATOR,SHARED,14700
2026-04,P009,ADMIN,SHARED,10500
2026-04,P010,TEACHER,T06,12600
2026-04,P011,ASSISTANT,T06,7350
2026-05,P001,TEACHER,T01,12600
2026-05,P002,TEACHER,T02,12600
2026-05,P003,TEACHER,T03,12600
2026-05,P004,TEACHER,T04,12600
2026-05,P005,ASSISTANT,T01,7350
2026-05,P006,ASSISTANT,T03,7350
2026-05,P007,ASSISTANT,T05,7350
2026-05,P008,COORDINATOR,SHARED,14700
2026-05,P009,ADMIN,SHARED,10500
2026-05,P010,TEACHER,T06,12600
2026-05,P011,ASSISTANT,T06,7350
2026-06,P001,TEACHER,T01,12600
2026-06,P002,TEACHER,T02,12600
2026-06,P003,TEACHER,T03,12600
2026-06,P004,TEACHER,T04,12600
2026-06,P005,ASSISTANT,T01,7350
2026-06,P006,ASSISTANT,T03,7350
2026-06,P007,ASSISTANT,T05,7350
2026-06,P008,COORDINATOR,SHARED,14700
2026-06,P009,ADMIN,SHARED,10500
2026-06,P010,TEACHER,T06,12600
2026-06,P011,ASSISTANT,T06,7350
2026-07,P001,TEACHER,T01,12600
2026-07,P002,TEACHER,T02,12600
2026-07,P003,TEACHER,T03,12600
2026-07,P004,TEACHER,T04,12600
2026-07,P005,ASSISTANT,T01,7350
2026-07,P006,ASSISTANT,T03,7350
2026-07,P007,ASSISTANT,T05,7350
2026-07,P008,COORDINATOR,SHARED,14700
2026-07,P009,ADMIN,SHARED,10500
2026-07,P010,TEACHER,T06,12600
2026-07,P011,ASSISTANT,T06,7350
